worker_id,assignments_total,approved_count,expired_count,skipped_count,median_duration_sec,items_done,yes_count,no_count,not_working_count,controls_done,controls_correct,unfinished_share,control_accuracy,yes_share,no_share,not_working_share,answer_dominance_share,low_control_accuracy_flag,answer_dominance_flag,fast_low_quality_flag,unfinished_behavior_flag,suspicious_flag,suspicious_reasons
62b5a3cf-59d1-4bd5-a467-0bd76dcfccf9,3,2,1,0,130.0,20.0,13.0,7.0,0.0,4.0,0.0,0.3333333333333333,0.0,0.65,0.35,0.0,0.65,True,False,True,False,True,"low_control_accuracy,fast_low_quality"
bbd89c42-f9a5-45a2-8adf-f74cffa584f3,4,2,2,0,1105.5,20.0,13.0,7.0,0.0,4.0,0.0,0.5,0.0,0.65,0.35,0.0,0.65,True,False,False,True,True,"low_control_accuracy,unfinished_behavior"
1825cab3-89d1-451c-a96c-787c0281cf79,3,1,2,0,1248.0,10.0,6.0,4.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.6,0.4,0.0,0.6,False,False,False,True,True,unfinished_behavior
bb86c9b9-63b7-4d53-936d-4919b1fed80e,3,1,2,0,314.0,10.0,6.0,4.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.6,0.4,0.0,0.6,False,False,False,True,True,unfinished_behavior
69a7fcca-5ef7-4c1f-8508-0e08779e603b,3,1,2,0,78.0,5.0,3.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.6,0.2,0.2,0.6,False,False,False,True,True,unfinished_behavior
2d0f8db4-dba5-47cc-8972-ef72ad1755bc,2,2,0,0,109.0,20.0,11.0,7.0,2.0,4.0,0.0,0.0,0.0,0.55,0.35,0.1,0.55,True,False,True,False,True,"low_control_accuracy,fast_low_quality"
3efc4de7-1d89-4615-b5fa-522c43a7a3e3,4,4,0,0,404.0,40.0,21.0,16.0,3.0,4.0,0.0,0.0,0.0,0.525,0.4,0.075,0.525,True,False,False,False,True,low_control_accuracy
e14179bb-e8e1-4e0d-9569-659397fcac8d,2,2,0,0,357.0,20.0,10.0,8.0,2.0,4.0,0.0,0.0,0.0,0.5,0.4,0.1,0.5,True,False,False,False,True,low_control_accuracy
2998d614-dbc2-4550-80ce-edd220f0a197,3,1,2,0,192.0,10.0,5.0,5.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.5,0.5,0.0,0.5,False,False,False,True,True,unfinished_behavior
69be791a-eb85-4111-90cc-26e119933f9f,4,1,3,0,1065.0,10.0,5.0,4.0,1.0,1.0,0.0,0.75,0.0,0.5,0.4,0.1,0.5,False,False,False,True,True,unfinished_behavior
b46d8d67-bedd-4830-a9c2-e791f506ea10,4,4,0,0,268.0,40.0,19.0,17.0,4.0,4.0,0.0,0.0,0.0,0.475,0.425,0.1,0.475,True,False,False,False,True,low_control_accuracy
10f49c63-6d0a-4a7c-befc-21a4882a8d82,3,0,3,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,unfinished_behavior
63ad9bf1-2516-4d34-aecf-52f513feaee0,5,0,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,unfinished_behavior
72b311d9-e5db-40d7-a68b-bc8136160dd8,6,0,6,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,unfinished_behavior
cfb7831e-0596-4a52-af59-608781e50185,4,0,4,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,unfinished_behavior
eea67018-3eaf-4969-8449-d92dc052404d,5,0,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,unfinished_behavior
fd766602-050b-4293-bf4e-5265454233c0,51,0,51,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,unfinished_behavior
13164f7b-14aa-4b3c-9754-8ccdea8c5209,5,3,2,0,227.0,30.0,28.0,2.0,0.0,6.0,1.0,0.4,0.16666666666666666,0.9333333333333333,0.06666666666666667,0.0,0.9333333333333333,True,True,False,False,True,"low_control_accuracy,answer_dominance"
7f7d9b1a-2553-4414-9ca1-770c2ca1a732,5,3,2,0,448.0,30.0,22.0,7.0,1.0,6.0,1.0,0.4,0.16666666666666666,0.7333333333333333,0.23333333333333334,0.03333333333333333,0.7333333333333333,True,False,False,False,True,low_control_accuracy
1325973f-f0c1-491f-989e-d85578d52a34,7,3,4,0,274.0,30.0,18.0,11.0,1.0,6.0,1.0,0.5714285714285714,0.16666666666666666,0.6,0.36666666666666664,0.03333333333333333,0.6,True,False,False,True,True,"low_control_accuracy,unfinished_behavior"
57fb5ac9-7fb9-4260-b88d-715813fcc818,4,3,1,0,297.0,30.0,18.0,8.0,4.0,6.0,1.0,0.25,0.16666666666666666,0.6,0.26666666666666666,0.13333333333333333,0.6,True,False,False,False,True,low_control_accuracy
24918ba4-d2dd-4801-9d46-d90a3a4a7c63,6,5,1,0,416.0,50.0,35.0,14.0,1.0,5.0,1.0,0.16666666666666666,0.2,0.7,0.28,0.02,0.7,True,False,False,False,True,low_control_accuracy
caf33807-cc4b-4871-bc6d-0f9623102526,4,3,1,0,233.0,30.0,20.0,9.0,1.0,5.0,1.0,0.25,0.2,0.6666666666666666,0.3,0.03333333333333333,0.6666666666666666,True,False,False,False,True,low_control_accuracy
c5329721-990c-451e-a437-27e2965bc478,5,5,0,0,279.0,50.0,27.0,19.0,4.0,5.0,1.0,0.0,0.2,0.54,0.38,0.08,0.54,True,False,False,False,True,low_control_accuracy
76a8e534-99d6-4d30-aabe-d79c79ddb751,2,2,0,0,683.0,20.0,19.0,0.0,1.0,4.0,1.0,0.0,0.25,0.95,0.0,0.05,0.95,True,True,False,False,True,"low_control_accuracy,answer_dominance"
bae991fe-150a-47d0-9d02-7c1fcb079e5f,4,2,2,0,45.0,20.0,19.0,1.0,0.0,4.0,1.0,0.5,0.25,0.95,0.05,0.0,0.95,True,True,True,True,True,"low_control_accuracy,answer_dominance,fast_low_quality,unfinished_behavior"
c3a332d3-f00b-427b-b1ad-ee47570f149e,6,2,4,0,1492.0,20.0,18.0,2.0,0.0,4.0,1.0,0.6666666666666666,0.25,0.9,0.1,0.0,0.9,True,True,False,True,True,"low_control_accuracy,answer_dominance,unfinished_behavior"
e205297d-68c2-4d1a-b263-45fa76a42a4b,2,2,0,0,379.0,20.0,18.0,1.0,1.0,4.0,1.0,0.0,0.25,0.9,0.05,0.05,0.9,True,True,False,False,True,"low_control_accuracy,answer_dominance"
fc09053f-e667-43e5-be52-8ae6e6ee74f8,2,2,0,0,256.0,20.0,18.0,2.0,0.0,4.0,1.0,0.0,0.25,0.9,0.1,0.0,0.9,True,True,False,False,True,"low_control_accuracy,answer_dominance"
ea26391d-8265-4302-9557-ea31ce531918,7,2,5,0,375.5,20.0,17.0,3.0,0.0,4.0,1.0,0.7142857142857143,0.25,0.85,0.15,0.0,0.85,True,False,False,True,True,"low_control_accuracy,unfinished_behavior"
d9d5ac66-db80-4129-b724-ac0974a2bab3,4,4,0,0,474.0,40.0,32.0,8.0,0.0,4.0,1.0,0.0,0.25,0.8,0.2,0.0,0.8,True,False,False,False,True,low_control_accuracy
ea8443f1-c230-4420-83ba-3ff6178feec0,2,2,0,0,69.0,20.0,16.0,4.0,0.0,4.0,1.0,0.0,0.25,0.8,0.2,0.0,0.8,True,False,True,False,True,"low_control_accuracy,fast_low_quality"
ef636725-703c-4374-b4f2-108305a3c75a,2,2,0,0,776.0,20.0,16.0,3.0,1.0,4.0,1.0,0.0,0.25,0.8,0.15,0.05,0.8,True,False,False,False,True,low_control_accuracy
73ad3f4e-06c6-4c5b-bed5-b22fc4e521ad,2,2,0,0,415.5,20.0,15.0,4.0,1.0,4.0,1.0,0.0,0.25,0.75,0.2,0.05,0.75,True,False,False,False,True,low_control_accuracy
758fdb0a-3269-4cf8-88b2-135772c17e78,3,2,1,0,274.5,20.0,15.0,4.0,1.0,4.0,1.0,0.3333333333333333,0.25,0.75,0.2,0.05,0.75,True,False,False,False,True,low_control_accuracy
b404afe5-f943-4391-9458-4f218f7fde56,2,2,0,0,776.0,20.0,15.0,5.0,0.0,4.0,1.0,0.0,0.25,0.75,0.25,0.0,0.75,True,False,False,False,True,low_control_accuracy
dbe9b555-3b37-4a4f-b27b-ca55c87263f0,2,2,0,0,397.0,20.0,15.0,4.0,1.0,4.0,1.0,0.0,0.25,0.75,0.2,0.05,0.75,True,False,False,False,True,low_control_accuracy
dd553434-f6ae-4c12-8a4d-7dcc55a311bc,3,2,1,0,296.5,20.0,15.0,5.0,0.0,4.0,1.0,0.3333333333333333,0.25,0.75,0.25,0.0,0.75,True,False,False,False,True,low_control_accuracy
f503439a-6585-4e02-a6b0-9b919269bb58,6,2,4,0,77.5,20.0,15.0,5.0,0.0,4.0,1.0,0.6666666666666666,0.25,0.75,0.25,0.0,0.75,True,False,True,True,True,"low_control_accuracy,fast_low_quality,unfinished_behavior"
805ef82e-ede4-46f7-b211-8269ed2b7154,3,3,0,0,549.0,30.0,22.0,8.0,0.0,4.0,1.0,0.0,0.25,0.7333333333333333,0.26666666666666666,0.0,0.7333333333333333,True,False,False,False,True,low_control_accuracy
